ENG4701 Proposal Mark,ENG4701 Panel 1 Mark,ENG4701 Panel 2 Mark,ENG4701 Final Mark,ENG4701 WAM,ENG4702 Total 1,ENG4702 Total 2,ENG4702 Final Video,ENG4702 Final Poster,ENG4702 Final Report,ENG4702 FINAL MARK,ENG4702 WAM
75.9,78.8,76.1,77,79,,,,,,,
80.75,63.4,74,70,78.304,,,,,,,
80.75,63.4,74,70,63.767,,,,,,,
80.75,63.4,74,70,77.92,,,,,,,
86.7,66.7,79.9,75,79.242,,,,,,,
86.7,66.7,79.9,75,72,,,,,,,
81.8,80.5,87,83,75.762,,,,,,,
65.75,,,26,51.213,,,,,,,
90.1,73.4,78.8,82,70.083,,,,,,,
53.1,34.5,69.7,45,55.431,,,,,,,
60.2,33.1,73.3,48,55.238,,,,,,,
81.9,83.1,69.4,74,81.433,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
81.9,83.1,69.4,74,70.545,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
81.9,83.1,69.4,74,80.479,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
81.9,83.1,69.4,74,72.2,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
81.9,83.1,69.4,74,68.362,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
100,85.9,80.9,90,80.397,,,,,,,
95,85.9,78.1,87,87.531,,,,,,,
95,90,83,90,85.653,,,,,,,
81.8,81.1,73.6,78,73.547,,,,,,,
84.7,74.8,80.5,80,64.2,,,,,,,
81.35,65.9,77.8,72,71.355,,,,,,,
78.15,76.8,70.5,75,63.047,,,,,,,
85.9,72.8,,34,67.75,,,,,,,
84.2,75.6,74.1,78,80.097,,,,,,,
79.75,80.4,77.9,78,78.521,,,,,,,
85.2,59.8,80.5,71,66.955,,,,,,,
75.8,78.5,72.7,76,69.886,,,,,,,
75.8,78.5,72.7,76,73.639,,,,,,,
77.2,74.9,66.8,73,65.324,,,,,,,
77.2,74.9,66.8,73,71.208,,,,,,,
73.9,77.8,87.2,80,77.828,,,,,,,
68.5,75.7,73.9,72,49.446,,,,,,,
68.5,75.7,73.9,72,60.3,,,,,,,
80.3,76.1,74.2,77,68.551,,,,,,,
90.6,71.4,81.1,82,72.818,,,,,,,
84.8,0,0,34,50.2,,,,,,,
92,74.6,84.3,84,75.565,,,,,,,
83.6,85.1,75.1,82,86.4,,,,,,,
81.1,83.5,79.5,81,79.486,,,,,,,
83.8,84.3,89.7,86,81.761,,,,,,,
81.15,82.7,77.2,80,78.194,,,,,,,
70.5,84.5,77.9,77,74.444,,,,,,,
77.8,73.8,83.4,78,73.6,,,,,,,
74.3,86.3,84.3,81,84.216,,,,,,,
81.5,76.9,89.7,78,82.936,,,,,,,
74.5,82.7,77.4,78,74.746,,,,,,,
83.4,83,76.3,81,74.286,,,,,,,
80.1,81.5,90.8,84,78.475,,,,,,,
79.15,82.7,72.5,75,78.386,,,,,,,
74,73.3,71,73,69.289,,,,,,,
81.4,83.6,74.2,80,76,,,,,,,
81.4,83.6,74.2,80,78.267,,,,,,,
76.1,79.8,80.5,80,57.074,,,,,,,
76.1,79.8,80.5,80,66.519,,,,,,,
76.1,79.8,80.5,80,78.179,,,,,,,
75.1,76.4,69.3,69,63.339,,,,,,,
87.4,76.1,80.4,82,74.158,,,,,,,
74.8,79.8,83,79,81.05,,,,,,,
84.8,72.1,55.1,68,67.2,,,,,,,
69.9,54.3,64.3,63,68.688,,,,,,,
88.4,75.5,74.2,80,73.556,,,,,,,
84.8,81,75.3,81,61.145,,,,,,,
73.5,0,0,29,55.051,,,,,,,
88.4,69.7,76.6,78,75.283,,,,,,,
84.8,76.4,74.6,78,72.03,,,,,,,
82.4,65.3,65.4,72,76.051,,,,,,,
82.4,65.3,65.4,72,80.881,,,,,,,
88.2,79.4,80.4,83,84.738,,,,,,,
84.7,82.3,80.5,83,71.205,,,,,,,
84.2,69.4,61.7,73,66.603,,,,,,,
78.3,0,0,31,,,,,,,,
89.8,85.5,85.8,87,73.029,,,,,,,
78.05,82.2,70.3,73,65.044,,,,,,,
82.4,89.1,77,78,67.589,,,,,,,
81.65,86.3,78.6,82,69.977,,,,,,,
37.03,76.3,77,61,56.152,,,,,,,
87.9,80.8,81.2,84,83.776,,,,,,,
86.5,84.4,81.4,84,76.737,,,,,,,
65,63.4,65.3,65,65.453,,,,,,,
70.9,41.8,71.5,58,56.716,,,,,,,
74.65,78.4,72.5,75,73.464,,,,,,,
71.4,81.9,65.6,68,72.107,,,,,,,
89.9,83.7,81,85,73.88,,,,,,,
70.7,90,70.3,70,61.32,,,,,,,
85.9,90,76.9,81,74.82,,,,,,,
84.4,90,88.1,87,61.288,,,,,,,
89.9,53.6,69.1,68,61.535,,,,,,,
89.3,84,79.7,85,63.884,,,,,,,
92,62.3,77.1,78,84.275,,,,,,,
92,74,79.9,83,81.762,,,,,,,
88,65.5,71.4,76,45.958,,,,,,,
92,79.5,79.1,84,72.84,,,,,,,
92,76.1,68.9,80,62.463,,,,,,,
92,72.4,75.6,81,76.712,,,,,,,
92,86.9,78.5,86,77.923,,,,,,,
81.8,79.4,80,81,68.917,,,,,,,
81.35,73.7,81.1,78,78.792,,,,,,,
79.05,72.4,80.3,77,71.365,,,,,,,
81.6,75.9,74.9,78,71.853,,,,,,,
